iter	Passed	Remaining
0	1	1482
1	3	1707
2	5	1697
3	6	1611
4	7	1557
5	9	1500
6	10	1440
7	11	1430
8	12	1420
9	14	1413
10	15	1405
11	17	1420
12	18	1400
13	19	1403
14	21	1414
15	22	1397
16	23	1387
17	25	1372
18	26	1353
19	27	1345
20	28	1334
21	29	1328
22	31	1348
23	33	1350
24	34	1344
25	35	1334
26	36	1325
27	37	1315
28	38	1304
29	40	1295
30	41	1283
31	41	1266
32	42	1251
33	43	1237
34	45	1249
35	46	1249
36	48	1249
37	49	1243
38	50	1241
39	51	1236
40	52	1226
41	53	1217
42	54	1205
43	54	1194
44	55	1185
45	56	1174
46	57	1164
47	58	1153
48	59	1148
49	60	1141
50	61	1139
51	62	1134
52	63	1129
53	64	1121
54	64	1115
55	65	1109
56	66	1101
57	67	1095
58	68	1088
59	69	1082
60	69	1077
61	70	1070
62	71	1066
63	72	1061
64	73	1057
65	74	1054
66	75	1051
67	76	1048
68	77	1046
69	78	1042
70	79	1037
71	80	1032
72	80	1028
73	81	1023
74	82	1018
75	83	1013
76	84	1010
77	85	1006
78	86	1003
79	86	998
80	87	994
81	88	991
82	89	983
83	89	980
84	90	976
85	91	975
86	92	973
87	93	971
88	94	967
89	95	964
90	96	960
91	97	957
92	97	954
93	98	952
94	99	949
95	100	947
96	101	944
97	102	942
98	103	941
99	104	940
100	105	938
101	106	936
102	107	935
103	108	933
104	109	930
105	110	929
106	111	927
107	112	925
108	112	922
109	113	920
110	114	918
111	115	916
112	116	915
113	117	913
114	118	911
115	119	908
116	119	905
117	120	904
118	122	903
119	123	902
120	123	899
121	124	896
122	125	893
123	126	890
124	127	889
125	127	887
126	128	883
127	129	881
128	130	880
129	131	879
130	132	877
131	133	875
132	134	874
133	135	873
134	135	871
135	136	870
136	138	869
137	139	868
138	140	867
139	140	865
140	141	864
141	142	861
142	143	858
143	144	856
144	144	854
145	145	852
146	146	850
147	147	849
148	148	847
149	149	845
150	150	843
151	150	841
152	151	839
153	152	839
154	153	839
155	154	837
156	155	835
157	156	833
158	157	831
159	158	829
160	158	826
161	159	825
162	160	823
163	161	821
164	161	819
165	162	817
166	163	815
167	164	813
168	165	811
169	165	809
170	166	807
171	167	806
172	168	804
173	169	803
174	170	801
175	170	800
176	171	799
177	172	797
178	173	796
179	174	794
180	175	793
181	176	791
182	176	790
183	177	788
184	178	786
185	179	784
186	180	783
187	180	781
188	181	780
189	182	778
190	183	778
191	184	777
192	185	775
193	186	773
194	187	772
195	187	770
196	188	769
197	189	768
198	190	766
199	191	764
200	192	763
201	192	762
202	193	760
203	194	758
204	195	756
205	195	755
206	197	754
207	197	753
208	198	752
209	199	750
210	200	749
211	201	747
212	202	747
213	203	745
214	203	744
215	204	743
216	205	742
217	206	740
218	207	739
219	208	738
220	209	737
221	210	736
222	210	734
223	211	734
224	212	733
225	213	732
226	214	730
227	215	729
228	216	728
229	217	727
230	218	726
231	218	724
232	219	723
233	220	722
234	221	721
235	222	719
236	223	718
237	223	716
238	224	715
239	225	713
240	226	712
241	227	711
242	228	711
243	229	709
244	229	708
245	230	707
246	231	706
247	232	704
248	233	703
249	234	702
250	234	700
251	235	699
252	236	698
253	237	696
254	238	695
255	238	694
256	239	692
257	240	690
258	240	689
259	241	687
260	242	687
261	243	686
262	244	685
263	245	684
264	246	683
265	247	681
266	247	680
267	248	679
268	249	678
269	250	677
270	251	676
271	252	674
272	252	673
273	253	672
274	254	671
275	255	670
276	256	669
277	257	668
278	258	668
279	259	667
280	260	667
281	261	665
282	262	664
283	263	663
284	264	662
285	265	661
286	265	660
287	266	659
288	267	658
289	268	657
290	269	656
291	270	654
292	270	653
293	271	652
294	272	651
295	273	651
296	274	650
297	275	649
298	276	648
299	277	647
300	278	646
301	279	644
302	279	643
303	280	642
304	281	641
305	282	639
306	282	638
307	283	637
308	284	636
309	285	635
310	286	633
311	286	632
312	287	631
313	288	630
314	289	629
315	290	628
316	291	627
317	292	626
318	293	625
319	293	624
320	294	623
321	295	623
322	296	621
323	297	620
324	298	620
325	299	618
326	300	617
327	300	616
328	301	615
329	302	614
330	303	614
331	304	613
332	305	612
333	306	611
334	307	610
335	308	608
336	308	607
337	309	606
338	310	605
339	311	604
340	312	603
341	313	602
342	313	601
343	314	600
344	315	598
345	316	598
346	317	597
347	318	596
348	319	595
349	319	594
350	320	593
351	321	592
352	322	591
353	323	589
354	324	588
355	324	587
356	325	586
357	326	585
358	327	585
359	328	584
360	329	583
361	330	582
362	331	581
363	332	580
364	333	580
365	334	578
366	335	577
367	335	576
368	336	575
369	337	574
370	338	573
371	339	572
372	339	571
373	340	570
374	341	569
375	342	567
376	343	566
377	343	565
378	344	564
379	345	564
380	346	563
381	347	562
382	348	561
383	349	560
384	350	559
385	351	558
386	352	557
387	352	556
388	353	555
389	354	554
390	355	553
391	356	552
392	357	551
393	358	551
394	359	550
395	360	549
396	361	548
397	361	547
398	362	546
399	363	545
400	364	544
401	365	543
402	366	542
403	367	542
404	368	541
405	369	540
406	369	538
407	370	537
408	371	537
409	372	536
410	373	535
411	374	534
412	375	533
